epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.403,1.81347,2.98435,1.87086,0.18592,0.25374,0.14039,0.05769,2.49877,3.56469,2.47717,0.000414046,0.000414046,0.000414046
2,132.331,1.9134,2.44342,1.9323,0.13721,0.30725,0.12921,0.05965,2.29911,4.32476,2.39216,0.000822489,0.000822489,0.000822489
3,196.431,1.89646,2.45933,1.95206,0.35711,0.22748,0.20262,0.08724,2.35093,2.80554,2.44041,0.00122268,0.00122268,0.00122268
4,261.076,1.85741,2.40412,1.91543,0.3579,0.25841,0.23487,0.11224,2.13247,2.9287,2.13584,0.00121287,0.00121287,0.00121287
5,324.698,1.79517,2.22605,1.84903,0.36578,0.32748,0.28155,0.14444,2.06326,2.5306,2.10396,0.0012005,0.0012005,0.0012005
6,389.614,1.71153,2.10659,1.78361,0.40876,0.37743,0.34064,0.15072,2.09264,2.56771,2.0863,0.00118812,0.00118812,0.00118812
7,453.516,1.71201,2.04629,1.77101,0.58662,0.28574,0.34228,0.16692,2.09663,2.38715,2.12821,0.00117575,0.00117575,0.00117575
8,518.387,1.66521,1.9524,1.73217,0.43572,0.3906,0.38271,0.20553,1.86593,2.09838,1.92447,0.00116337,0.00116337,0.00116337
9,581.871,1.61746,1.87345,1.69088,0.47493,0.41392,0.41571,0.22435,1.8969,2.11712,1.97446,0.001151,0.001151,0.001151
10,646.034,1.61568,1.86172,1.68961,0.45285,0.37654,0.36713,0.18725,1.93423,2.24267,1.9584,0.00113863,0.00113863,0.00113863
11,708.25,1.60973,1.81495,1.67935,0.56895,0.43596,0.48698,0.26331,1.78782,1.9084,1.82867,0.00112625,0.00112625,0.00112625
12,772.689,1.56547,1.75449,1.65446,0.55793,0.45584,0.48465,0.269,1.77972,1.92715,1.82914,0.00111388,0.00111388,0.00111388
13,836.038,1.55171,1.76471,1.64699,0.55032,0.47056,0.49518,0.26224,1.76941,1.86223,1.80287,0.0011015,0.0011015,0.0011015
14,899.484,1.51276,1.70446,1.62225,0.58512,0.53612,0.57283,0.32804,1.66757,1.65796,1.72874,0.00108913,0.00108913,0.00108913
15,963.513,1.53448,1.65939,1.60913,0.545,0.49344,0.5152,0.29755,1.68091,1.80429,1.77496,0.00107675,0.00107675,0.00107675
16,1026.54,1.47179,1.60225,1.57193,0.64162,0.51444,0.5756,0.32189,1.69346,1.62329,1.73701,0.00106437,0.00106437,0.00106437
17,1089.18,1.48292,1.61006,1.58624,0.60107,0.53506,0.56862,0.32087,1.67867,1.62743,1.72156,0.001052,0.001052,0.001052
18,1152.87,1.46261,1.55341,1.55654,0.69568,0.54812,0.63052,0.365,1.62347,1.5233,1.67063,0.00103962,0.00103962,0.00103962
19,1217.71,1.44796,1.51757,1.54673,0.66361,0.57257,0.63823,0.37175,1.58939,1.51459,1.63863,0.00102725,0.00102725,0.00102725
20,1281.51,1.43654,1.51328,1.54273,0.69164,0.56453,0.62812,0.36525,1.59362,1.4781,1.64453,0.00101488,0.00101488,0.00101488
21,1344.94,1.42393,1.50855,1.53902,0.67581,0.54491,0.61403,0.35276,1.60223,1.60498,1.6686,0.0010025,0.0010025,0.0010025
22,1407.91,1.41756,1.48456,1.52203,0.65629,0.53699,0.61204,0.36807,1.59074,1.53108,1.63211,0.000990125,0.000990125,0.000990125
23,1471.03,1.39002,1.44062,1.50074,0.68661,0.55913,0.63779,0.37591,1.56977,1.46224,1.61083,0.00097775,0.00097775,0.00097775
24,1534.97,1.38024,1.40912,1.4952,0.72629,0.56755,0.65212,0.37483,1.58318,1.46305,1.62441,0.000965375,0.000965375,0.000965375
25,1600.46,1.374,1.39105,1.49434,0.67538,0.58983,0.64831,0.38161,1.57483,1.46791,1.60959,0.000953,0.000953,0.000953
26,1664.28,1.35933,1.359,1.47735,0.70043,0.56858,0.64554,0.39248,1.54239,1.4725,1.62378,0.000940625,0.000940625,0.000940625
27,1729.4,1.35971,1.34412,1.47493,0.69737,0.61835,0.68952,0.40336,1.56406,1.36568,1.5954,0.00092825,0.00092825,0.00092825
28,1792.81,1.3582,1.34802,1.47867,0.72935,0.60324,0.68317,0.38492,1.57718,1.39187,1.59393,0.000915875,0.000915875,0.000915875
29,1856.12,1.34694,1.31987,1.45988,0.74564,0.61229,0.6938,0.40751,1.5422,1.37032,1.57595,0.0009035,0.0009035,0.0009035
30,1919.92,1.33541,1.29788,1.44855,0.7217,0.58455,0.67383,0.39307,1.58128,1.37129,1.62901,0.000891125,0.000891125,0.000891125
31,1983.25,1.33021,1.30538,1.45176,0.7642,0.61515,0.71253,0.41394,1.52963,1.31397,1.57127,0.00087875,0.00087875,0.00087875
32,2047.58,1.31381,1.2628,1.43885,0.74071,0.61678,0.69726,0.4029,1.5729,1.34203,1.6029,0.000866375,0.000866375,0.000866375
33,2111.49,1.30678,1.26095,1.43391,0.75544,0.61243,0.7042,0.4318,1.47165,1.30021,1.55663,0.000854,0.000854,0.000854
34,2175.05,1.29055,1.25074,1.42755,0.74494,0.62378,0.7195,0.43381,1.48973,1.26599,1.53831,0.000841625,0.000841625,0.000841625
35,2239.75,1.29156,1.25347,1.42038,0.73721,0.60751,0.68601,0.41186,1.51458,1.29111,1.5861,0.00082925,0.00082925,0.00082925
36,2302.3,1.27007,1.21158,1.40578,0.77175,0.62964,0.71926,0.44652,1.46948,1.25568,1.52614,0.000816875,0.000816875,0.000816875
37,2366.41,1.2612,1.18526,1.40322,0.77331,0.63508,0.7342,0.45031,1.46822,1.214,1.52407,0.0008045,0.0008045,0.0008045
38,2430.4,1.26665,1.19331,1.40172,0.77583,0.64172,0.73615,0.45669,1.46832,1.21616,1.52696,0.000792125,0.000792125,0.000792125
39,2495.03,1.26705,1.17631,1.40398,0.78259,0.62778,0.7369,0.45947,1.4842,1.19977,1.53891,0.00077975,0.00077975,0.00077975
40,2558.55,1.24951,1.14862,1.37933,0.81972,0.61,0.73431,0.45476,1.46019,1.23762,1.51347,0.000767375,0.000767375,0.000767375
41,2622.24,1.22446,1.12409,1.371,0.77331,0.68005,0.76657,0.47249,1.44956,1.14594,1.50786,0.000755,0.000755,0.000755
42,2686.91,1.24156,1.14715,1.38584,0.78303,0.63692,0.74953,0.47248,1.41921,1.18949,1.48967,0.000742625,0.000742625,0.000742625
43,2749.91,1.21154,1.11535,1.36355,0.78144,0.65978,0.75892,0.47362,1.42624,1.14768,1.48937,0.00073025,0.00073025,0.00073025
44,2813.84,1.19895,1.08929,1.35936,0.77935,0.67338,0.76149,0.47299,1.44933,1.13935,1.4953,0.000717875,0.000717875,0.000717875
45,2875.85,1.21492,1.10708,1.36946,0.76664,0.66287,0.74919,0.46441,1.45368,1.16619,1.51957,0.0007055,0.0007055,0.0007055
46,2939.18,1.19246,1.0804,1.36229,0.77845,0.66813,0.7617,0.47278,1.43923,1.1355,1.48906,0.000693125,0.000693125,0.000693125
47,3001.21,1.2025,1.09667,1.35471,0.80048,0.67414,0.77265,0.48538,1.4075,1.11711,1.46744,0.00068075,0.00068075,0.00068075
48,3065.48,1.17425,1.04841,1.33385,0.79932,0.68783,0.78768,0.49123,1.41498,1.09783,1.47883,0.000668375,0.000668375,0.000668375
49,3129.11,1.16643,1.03732,1.33101,0.78293,0.70545,0.78008,0.48568,1.42136,1.08432,1.47084,0.000656,0.000656,0.000656
50,3192.59,1.17324,1.02451,1.32859,0.79874,0.68185,0.77531,0.48196,1.43178,1.08428,1.47792,0.000643625,0.000643625,0.000643625
51,3255.16,1.13134,0.97758,1.30425,0.79022,0.70138,0.78206,0.49432,1.38841,1.06597,1.44918,0.00063125,0.00063125,0.00063125
52,3320.43,1.15457,1.00583,1.31853,0.78567,0.72028,0.79052,0.50713,1.37658,1.06748,1.44428,0.000618875,0.000618875,0.000618875
53,3384.83,1.147,1.00007,1.31473,0.82842,0.70185,0.79251,0.50575,1.3889,1.05347,1.45679,0.0006065,0.0006065,0.0006065
54,3448.49,1.12324,0.97744,1.29771,0.77705,0.71979,0.79521,0.51072,1.3634,1.02755,1.42997,0.000594125,0.000594125,0.000594125
55,3512.99,1.13994,0.989,1.30963,0.79661,0.7323,0.80428,0.52736,1.34192,1.01723,1.42288,0.00058175,0.00058175,0.00058175
56,3577.98,1.12708,0.9652,1.29568,0.8084,0.71707,0.79735,0.51188,1.36545,1.02989,1.44901,0.000569375,0.000569375,0.000569375
57,3640.84,1.11823,0.9571,1.29431,0.82689,0.70287,0.80531,0.52614,1.34825,0.99436,1.43117,0.000557,0.000557,0.000557
