epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2708.16,1.27548,1.16849,1.40429,0.74805,0.65826,0.74537,0.45719,1.43054,1.18243,1.5059,0.00091175,0.00091175,0.00091175
43,2771.76,1.24525,1.13964,1.38709,0.77193,0.65103,0.7395,0.44684,1.47129,1.18639,1.52737,0.0009035,0.0009035,0.0009035
44,2834.3,1.24896,1.15578,1.3867,0.77263,0.63436,0.73189,0.44997,1.45889,1.20932,1.5269,0.00089525,0.00089525,0.00089525
45,2897.16,1.24277,1.13829,1.38277,0.77364,0.68972,0.7689,0.47424,1.41671,1.12607,1.48114,0.000887,0.000887,0.000887
46,2961.72,1.22955,1.12076,1.38163,0.76384,0.69051,0.77582,0.4776,1.44172,1.10248,1.50576,0.00087875,0.00087875,0.00087875
47,3026.45,1.24854,1.12468,1.37867,0.77839,0.66927,0.75283,0.45602,1.42165,1.13956,1.4884,0.0008705,0.0008705,0.0008705
48,3089.09,1.21646,1.0802,1.3484,0.79525,0.68361,0.78293,0.47942,1.42636,1.08539,1.48581,0.00086225,0.00086225,0.00086225
49,3153.85,1.19315,1.07291,1.35221,0.79225,0.67408,0.76524,0.47191,1.41887,1.11195,1.48643,0.000854,0.000854,0.000854
50,3216.92,1.17915,1.05486,1.34054,0.8046,0.70938,0.79861,0.5089,1.36444,1.0198,1.43601,0.00084575,0.00084575,0.00084575
51,3282.37,1.1808,1.02697,1.33529,0.79816,0.7007,0.7898,0.50545,1.36684,1.0504,1.44585,0.0008375,0.0008375,0.0008375
52,3345.41,1.19171,1.04669,1.34224,0.75718,0.70246,0.76783,0.47501,1.43852,1.09785,1.50528,0.00082925,0.00082925,0.00082925
53,3408.96,1.19531,1.06027,1.34114,0.78028,0.71432,0.79007,0.48469,1.39835,1.05531,1.47388,0.000821,0.000821,0.000821
54,3472.07,1.17674,1.02973,1.33425,0.80078,0.7079,0.79557,0.49092,1.38907,1.0397,1.45636,0.00081275,0.00081275,0.00081275
55,3535.43,1.17166,1.03004,1.32819,0.77657,0.71507,0.79394,0.50132,1.37254,1.01878,1.44484,0.0008045,0.0008045,0.0008045
56,3598.66,1.15261,0.99724,1.30397,0.82437,0.70028,0.80152,0.50313,1.36838,1.02043,1.44028,0.00079625,0.00079625,0.00079625
57,3661.95,1.16825,1.02043,1.32727,0.81837,0.70996,0.80124,0.50752,1.37201,1.02093,1.44069,0.000788,0.000788,0.000788
58,3725.77,1.15243,1.00328,1.31303,0.79744,0.72249,0.80227,0.51032,1.37834,1.01551,1.45227,0.00077975,0.00077975,0.00077975
59,3789.67,1.14935,0.99063,1.31334,0.81304,0.72887,0.81154,0.51732,1.36598,0.98863,1.42593,0.0007715,0.0007715,0.0007715
60,3854.58,1.15086,1.00528,1.307,0.81288,0.69819,0.79732,0.50326,1.36778,1.04773,1.44473,0.00076325,0.00076325,0.00076325
61,3917.6,1.1279,0.96149,1.29712,0.78813,0.75516,0.82078,0.52626,1.34192,0.97466,1.41562,0.000755,0.000755,0.000755
62,3983.3,1.14979,0.97476,1.31623,0.81057,0.7011,0.80192,0.50492,1.36207,1.01154,1.42469,0.00074675,0.00074675,0.00074675
63,4046.23,1.12831,0.95658,1.29435,0.81761,0.73721,0.82374,0.52857,1.31158,0.94609,1.39796,0.0007385,0.0007385,0.0007385
64,4111.47,1.13387,0.97225,1.30302,0.8042,0.75738,0.8273,0.53664,1.29304,0.93848,1.38501,0.00073025,0.00073025,0.00073025
65,4176.36,1.12582,0.94596,1.28885,0.79975,0.74886,0.81432,0.52683,1.31939,0.96049,1.40037,0.000722,0.000722,0.000722
66,4241.47,1.10994,0.93349,1.28308,0.80379,0.73775,0.82125,0.52707,1.32789,0.94603,1.40792,0.00071375,0.00071375,0.00071375
67,4303.62,1.10554,0.93149,1.28466,0.80526,0.7297,0.81254,0.51955,1.31514,0.97597,1.39491,0.0007055,0.0007055,0.0007055
68,4366.36,1.10133,0.93177,1.27048,0.86357,0.72947,0.83064,0.55247,1.27783,0.90704,1.35766,0.00069725,0.00069725,0.00069725
69,4429.39,1.08801,0.90023,1.26059,0.84719,0.74933,0.83663,0.54022,1.32349,0.92446,1.3861,0.000689,0.000689,0.000689
70,4491.3,1.08311,0.90848,1.25938,0.85593,0.74263,0.83578,0.54561,1.28478,0.90681,1.37165,0.00068075,0.00068075,0.00068075
71,4553.71,1.05384,0.87627,1.24238,0.83515,0.7574,0.84112,0.54547,1.28874,0.90221,1.36921,0.0006725,0.0006725,0.0006725
72,4615.46,1.06967,0.88253,1.24641,0.84911,0.74741,0.84048,0.54712,1.28401,0.88356,1.37187,0.00066425,0.00066425,0.00066425
73,4678.11,1.0733,0.88994,1.25313,0.84085,0.75015,0.8337,0.5511,1.28315,0.90272,1.36556,0.000656,0.000656,0.000656
74,4739.79,1.0567,0.87447,1.24398,0.84721,0.74977,0.84198,0.55453,1.27521,0.89363,1.37111,0.00064775,0.00064775,0.00064775
75,4802.93,1.05751,0.85797,1.24336,0.82427,0.75194,0.83584,0.55265,1.26671,0.89181,1.35677,0.0006395,0.0006395,0.0006395
76,4865.31,1.06907,0.86994,1.24569,0.84921,0.76687,0.85401,0.56904,1.23778,0.85488,1.32687,0.00063125,0.00063125,0.00063125
77,4928.04,1.03091,0.83934,1.22792,0.83057,0.77779,0.84409,0.55797,1.26052,0.86781,1.34782,0.000623,0.000623,0.000623
78,4990.57,1.04844,0.84012,1.23038,0.85515,0.7602,0.84923,0.56421,1.26041,0.84965,1.34726,0.00061475,0.00061475,0.00061475
79,5052.47,1.04694,0.84786,1.2282,0.7997,0.7903,0.84672,0.56324,1.26388,0.88012,1.3611,0.0006065,0.0006065,0.0006065
80,5114.49,1.0278,0.82758,1.23155,0.84091,0.76854,0.85518,0.56754,1.22853,0.83899,1.32247,0.00059825,0.00059825,0.00059825
81,5176.9,1.02216,0.80888,1.22208,0.85595,0.76471,0.85368,0.57171,1.22737,0.84531,1.32566,0.00059,0.00059,0.00059
82,5240.06,1.01615,0.81394,1.21831,0.8238,0.7992,0.85801,0.57954,1.21605,0.81438,1.31283,0.00058175,0.00058175,0.00058175
83,5303.94,1.01521,0.83098,1.22024,0.86029,0.78023,0.86393,0.58433,1.20781,0.81136,1.31774,0.0005735,0.0005735,0.0005735
84,5367.04,1.02171,0.81282,1.21631,0.84197,0.79226,0.85509,0.57326,1.23442,0.84313,1.33955,0.00056525,0.00056525,0.00056525
85,5428.86,1.01419,0.81473,1.21632,0.86365,0.75639,0.85603,0.57568,1.21951,0.83293,1.31559,0.000557,0.000557,0.000557
86,5491.49,0.9998,0.79491,1.20622,0.86495,0.77585,0.86452,0.57974,1.2269,0.80764,1.33025,0.00054875,0.00054875,0.00054875
87,5553.52,0.97695,0.77982,1.1941,0.87981,0.77385,0.86448,0.59175,1.18349,0.81419,1.30214,0.0005405,0.0005405,0.0005405
88,5617.12,0.97969,0.77375,1.18808,0.89259,0.78226,0.8686,0.59613,1.18134,0.78367,1.30488,0.00053225,0.00053225,0.00053225
89,5680.35,0.98484,0.77215,1.19339,0.87074,0.78941,0.86394,0.58858,1.18972,0.80763,1.30508,0.000524,0.000524,0.000524
90,5742.26,0.98351,0.77679,1.19071,0.87345,0.79333,0.86979,0.59668,1.18528,0.78202,1.30064,0.00051575,0.00051575,0.00051575
91,5808.57,0.95218,0.75715,1.18315,0.88289,0.80381,0.87814,0.59586,1.19468,0.77181,1.30218,0.0005075,0.0005075,0.0005075
92,5874.8,0.96031,0.75616,1.17767,0.85295,0.80287,0.86966,0.59404,1.18188,0.7905,1.29738,0.00049925,0.00049925,0.00049925
93,5938.47,0.96848,0.76888,1.18191,0.86126,0.80481,0.87835,0.60164,1.17758,0.75826,1.29303,0.000491,0.000491,0.000491
94,6005.05,0.95806,0.76354,1.18429,0.88681,0.79402,0.87826,0.60817,1.15916,0.76307,1.29154,0.00048275,0.00048275,0.00048275
95,6070.25,0.93602,0.73378,1.16467,0.87216,0.80908,0.87911,0.60823,1.15568,0.74508,1.27509,0.0004745,0.0004745,0.0004745
96,6134.76,0.9425,0.73166,1.16527,0.869,0.79128,0.8747,0.60388,1.1651,0.77295,1.28229,0.00046625,0.00046625,0.00046625
97,6197.05,0.93414,0.72829,1.16742,0.86902,0.81796,0.87892,0.60953,1.15162,0.74973,1.27257,0.000458,0.000458,0.000458
98,6261.42,0.93276,0.72229,1.16039,0.88483,0.80982,0.88353,0.6211,1.1411,0.74114,1.26693,0.00044975,0.00044975,0.00044975
99,6325.33,0.93191,0.72303,1.1604,0.87657,0.78903,0.87276,0.61073,1.13531,0.75194,1.25193,0.0004415,0.0004415,0.0004415
100,6388.17,0.92725,0.72226,1.15748,0.87723,0.80986,0.87683,0.61979,1.13059,0.74885,1.25601,0.00043325,0.00043325,0.00043325
101,6450.85,0.92799,0.71616,1.15528,0.85938,0.80283,0.87614,0.61075,1.13498,0.74639,1.26451,0.000425,0.000425,0.000425
102,6512.99,0.91791,0.72574,1.1582,0.88402,0.8164,0.88665,0.62233,1.12019,0.73776,1.25296,0.00041675,0.00041675,0.00041675
103,6577.33,0.90335,0.69295,1.14462,0.87252,0.8159,0.87991,0.62046,1.12979,0.74355,1.25562,0.0004085,0.0004085,0.0004085
104,6639.66,0.90857,0.69427,1.15068,0.85787,0.82891,0.88644,0.62723,1.09866,0.72391,1.23356,0.00040025,0.00040025,0.00040025
105,6704.15,0.90202,0.6951,1.14248,0.87737,0.80952,0.88698,0.63198,1.09363,0.71616,1.22834,0.000392,0.000392,0.000392
106,6767.79,0.90559,0.68761,1.141,0.89973,0.80952,0.88603,0.62625,1.11157,0.70551,1.24047,0.00038375,0.00038375,0.00038375
107,6832.32,0.8841,0.67027,1.12974,0.89079,0.82412,0.88776,0.62652,1.10343,0.71452,1.24573,0.0003755,0.0003755,0.0003755
108,6896.22,0.87722,0.66673,1.13032,0.90308,0.8117,0.89037,0.63002,1.09582,0.69466,1.22921,0.00036725,0.00036725,0.00036725
109,6961.25,0.88581,0.671,1.13226,0.9011,0.81999,0.89639,0.64073,1.08421,0.68289,1.22648,0.000359,0.000359,0.000359
110,7025.65,0.87973,0.67135,1.13498,0.88494,0.81355,0.88902,0.63493,1.08317,0.71134,1.22356,0.00035075,0.00035075,0.00035075
111,7089.23,0.86392,0.65709,1.12465,0.90681,0.80686,0.89412,0.6403,1.07551,0.69575,1.21999,0.0003425,0.0003425,0.0003425
112,7152.43,0.87944,0.66066,1.12768,0.87874,0.82519,0.89505,0.63888,1.06942,0.69994,1.21565,0.00033425,0.00033425,0.00033425
113,7215.45,0.87187,0.66504,1.12864,0.90114,0.81863,0.89495,0.64679,1.06562,0.68268,1.21052,0.000326,0.000326,0.000326
114,7280.45,0.86176,0.66153,1.12052,0.90165,0.82378,0.89019,0.64351,1.05575,0.68682,1.20565,0.00031775,0.00031775,0.00031775
115,7342.97,0.85454,0.64584,1.11585,0.89698,0.83443,0.90019,0.64974,1.05145,0.67098,1.19743,0.0003095,0.0003095,0.0003095
116,7408.11,0.86043,0.64581,1.11725,0.90361,0.82495,0.89816,0.65132,1.04623,0.66921,1.19309,0.00030125,0.00030125,0.00030125
117,7471.98,0.84245,0.62566,1.10582,0.89826,0.83812,0.90307,0.65505,1.05084,0.65102,1.19979,0.000293,0.000293,0.000293
118,7537.74,0.84733,0.63153,1.10828,0.88643,0.84563,0.89972,0.64966,1.04229,0.66451,1.1913,0.00028475,0.00028475,0.00028475
119,7600.85,0.84763,0.64144,1.10835,0.89812,0.83115,0.90075,0.65338,1.04311,0.66315,1.18686,0.0002765,0.0002765,0.0002765
120,7664.54,0.8381,0.62815,1.10538,0.90769,0.82578,0.89815,0.65308,1.04036,0.6565,1.18751,0.00026825,0.00026825,0.00026825
121,7728.29,0.83546,0.62421,1.0979,0.8969,0.82765,0.89581,0.65442,1.0443,0.67138,1.19044,0.00026,0.00026,0.00026
122,7793.13,0.81881,0.62126,1.09136,0.91579,0.83771,0.90353,0.6595,1.03148,0.64998,1.18406,0.00025175,0.00025175,0.00025175
123,7857.86,0.82875,0.61333,1.09623,0.91038,0.82375,0.90035,0.65934,1.02231,0.64582,1.18269,0.0002435,0.0002435,0.0002435
124,7921.94,0.83774,0.63176,1.11042,0.90989,0.83058,0.90465,0.66243,1.0168,0.64559,1.18331,0.00023525,0.00023525,0.00023525
125,7985.18,0.82147,0.61556,1.09505,0.91972,0.83384,0.90307,0.66826,1.00292,0.63904,1.17882,0.000227,0.000227,0.000227
126,8049.38,0.81205,0.61126,1.09541,0.91661,0.83088,0.90313,0.66741,1.0131,0.63822,1.17986,0.00021875,0.00021875,0.00021875
127,8111.55,0.8073,0.60199,1.09913,0.91633,0.8316,0.9046,0.66966,1.00331,0.63471,1.16934,0.0002105,0.0002105,0.0002105
128,8175.18,0.81348,0.60473,1.08884,0.91255,0.84073,0.90945,0.66942,1.00063,0.63099,1.16478,0.00020225,0.00020225,0.00020225
129,8239.82,0.79155,0.59521,1.08403,0.90973,0.83998,0.90355,0.66745,1.00088,0.63481,1.16262,0.000194,0.000194,0.000194
130,8302.86,0.79389,0.59195,1.08688,0.91112,0.84768,0.90852,0.67578,0.99351,0.63487,1.15982,0.00018575,0.00018575,0.00018575
131,8367.37,0.7946,0.58509,1.08171,0.90583,0.84933,0.91122,0.68046,0.98484,0.62059,1.16218,0.0001775,0.0001775,0.0001775
132,8433.89,0.79012,0.58931,1.08253,0.92413,0.8366,0.91062,0.68008,0.987,0.62325,1.16161,0.00016925,0.00016925,0.00016925
133,8496.53,0.78799,0.58859,1.07885,0.91104,0.84956,0.90858,0.68364,0.9744,0.61975,1.15253,0.000161,0.000161,0.000161
134,8561.36,0.78058,0.56923,1.07414,0.92593,0.83842,0.91063,0.68422,0.9766,0.62095,1.15595,0.00015275,0.00015275,0.00015275
135,8625.22,0.77454,0.57499,1.07039,0.91561,0.85037,0.91409,0.68468,0.9753,0.61836,1.15383,0.0001445,0.0001445,0.0001445
136,8689.23,0.78568,0.57583,1.07875,0.92967,0.83797,0.91393,0.68459,0.97981,0.61775,1.15514,0.00013625,0.00013625,0.00013625
137,8751.19,0.76845,0.56152,1.06486,0.91769,0.83943,0.91249,0.6845,0.97466,0.61354,1.15508,0.000128,0.000128,0.000128
138,8812.74,0.7698,0.56536,1.06459,0.92733,0.84273,0.91316,0.68479,0.97308,0.6113,1.15246,0.00011975,0.00011975,0.00011975
139,8876.18,0.76667,0.56317,1.06839,0.91519,0.85245,0.913,0.68466,0.9655,0.60941,1.14686,0.0001115,0.0001115,0.0001115
140,8937.76,0.77235,0.57229,1.07038,0.91067,0.85265,0.912,0.68716,0.97132,0.61459,1.14947,0.00010325,0.00010325,0.00010325
141,9002.41,0.74204,0.48173,1.04759,0.92303,0.83031,0.90762,0.67854,0.97842,0.61327,1.15544,9.5e-05,9.5e-05,9.5e-05
142,9063.62,0.71179,0.45293,1.03552,0.90929,0.84509,0.91023,0.68243,0.97074,0.60827,1.15133,8.675e-05,8.675e-05,8.675e-05
143,9124.61,0.69732,0.4375,1.02303,0.92932,0.83477,0.90952,0.68464,0.96547,0.61011,1.14925,7.85e-05,7.85e-05,7.85e-05
144,9185.85,0.69142,0.43413,1.01534,0.9193,0.84479,0.91119,0.68589,0.96511,0.60503,1.15008,7.025e-05,7.025e-05,7.025e-05
145,9246.88,0.68144,0.42803,1.01768,0.93146,0.83796,0.91309,0.6913,0.9548,0.59927,1.14026,6.2e-05,6.2e-05,6.2e-05
146,9308.61,0.68017,0.42419,1.01328,0.92953,0.8433,0.91529,0.69537,0.9461,0.59399,1.13616,5.375e-05,5.375e-05,5.375e-05
147,9371.51,0.6647,0.41238,1.00841,0.92312,0.84693,0.91599,0.69407,0.94675,0.59378,1.13789,4.55e-05,4.55e-05,4.55e-05
148,9432.16,0.67567,0.42197,1.01674,0.91728,0.85296,0.91686,0.69782,0.94252,0.59492,1.13314,3.725e-05,3.725e-05,3.725e-05
149,9493.56,0.65814,0.41225,1.00411,0.90745,0.86129,0.91493,0.69611,0.93692,0.59042,1.12953,2.9e-05,2.9e-05,2.9e-05
150,9554.3,0.6645,0.42008,1.01362,0.90811,0.86131,0.91521,0.69548,0.93711,0.59057,1.1289,2.075e-05,2.075e-05,2.075e-05
