epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5495,1.8587,3.10482,1.89886,0.05236,0.15661,0.02619,0.00979,2.44057,9.15466,2.53492,0.000413625,0.000413625,0.000413625
2,121.359,1.91895,2.48454,1.93544,0.11767,0.24404,0.10309,0.0394,2.5114,7.78834,2.52375,0.000824812,0.000824812,0.000824812
3,180.345,1.90074,2.48072,1.94677,0.17829,0.2565,0.08316,0.03158,2.49288,4.03748,2.66546,0.0012305,0.0012305,0.0012305
4,236.175,1.89698,2.41423,1.92558,0.36908,0.25979,0.21638,0.08687,2.24182,2.74495,2.28783,0.00122525,0.00122525,0.00122525
5,293.647,1.83472,2.31854,1.88256,0.40951,0.25778,0.22959,0.10817,2.11063,3.05526,2.23498,0.001217,0.001217,0.001217
6,350.969,1.78145,2.20598,1.82812,0.44116,0.2948,0.30816,0.15421,2.08197,2.35601,2.12455,0.00120875,0.00120875,0.00120875
7,408.714,1.72241,2.07589,1.78428,0.45921,0.33348,0.31979,0.15623,2.00902,2.26941,2.04687,0.0012005,0.0012005,0.0012005
8,466.831,1.70346,2.05344,1.763,0.50112,0.37216,0.38718,0.19761,1.88479,2.20266,1.92762,0.00119225,0.00119225,0.00119225
9,524.917,1.67929,2.00434,1.73886,0.53099,0.42977,0.4552,0.24199,1.78241,2.00532,1.84467,0.001184,0.001184,0.001184
10,582.654,1.65312,1.92872,1.72132,0.50016,0.3462,0.36257,0.18166,1.93678,2.21423,1.99122,0.00117575,0.00117575,0.00117575
11,639.229,1.64967,1.90303,1.70577,0.50603,0.4505,0.4606,0.24602,1.74201,1.87015,1.81832,0.0011675,0.0011675,0.0011675
12,697.03,1.60282,1.83823,1.66577,0.58903,0.43226,0.47837,0.25258,1.83029,1.89346,1.90614,0.00115925,0.00115925,0.00115925
13,754.633,1.56209,1.78608,1.65919,0.62788,0.4353,0.49606,0.26903,1.79109,1.83519,1.84441,0.001151,0.001151,0.001151
14,811.83,1.5859,1.7835,1.65116,0.58584,0.49663,0.53395,0.28519,1.70636,1.72607,1.75816,0.00114275,0.00114275,0.00114275
15,868.889,1.55821,1.72143,1.62172,0.60338,0.46467,0.51549,0.28102,1.75339,1.76822,1.78325,0.0011345,0.0011345,0.0011345
16,925.677,1.54209,1.67756,1.62918,0.63489,0.48146,0.54299,0.30456,1.67717,1.75772,1.73599,0.00112625,0.00112625,0.00112625
17,982.808,1.53315,1.66826,1.61084,0.63099,0.49671,0.53875,0.30215,1.72109,1.69163,1.76726,0.001118,0.001118,0.001118
18,1038.61,1.51251,1.62186,1.59789,0.68902,0.50608,0.58149,0.32733,1.66721,1.59516,1.71529,0.00110975,0.00110975,0.00110975
19,1095.85,1.47648,1.5811,1.57359,0.66689,0.50098,0.57236,0.32904,1.63169,1.57841,1.70242,0.0011015,0.0011015,0.0011015
20,1152.72,1.47607,1.58792,1.57019,0.66221,0.49423,0.55796,0.31155,1.67802,1.63644,1.73046,0.00109325,0.00109325,0.00109325
21,1208.69,1.4909,1.5927,1.58126,0.63919,0.5258,0.57919,0.32514,1.65863,1.56805,1.70442,0.001085,0.001085,0.001085
22,1265.2,1.43121,1.48067,1.5365,0.69378,0.5288,0.61007,0.35092,1.60144,1.51603,1.6539,0.00107675,0.00107675,0.00107675
23,1322.53,1.4577,1.51502,1.55136,0.59178,0.48998,0.51798,0.2946,1.72582,1.86748,1.81983,0.0010685,0.0010685,0.0010685
24,1378.46,1.42582,1.4978,1.53555,0.68813,0.54993,0.62136,0.36352,1.60404,1.51419,1.67057,0.00106025,0.00106025,0.00106025
25,1435.53,1.40364,1.46223,1.51878,0.61375,0.56275,0.61235,0.34825,1.55714,1.53149,1.63361,0.001052,0.001052,0.001052
26,1491.03,1.41534,1.48002,1.52595,0.68367,0.57345,0.64293,0.38748,1.51019,1.40365,1.58521,0.00104375,0.00104375,0.00104375
27,1548.93,1.39771,1.438,1.51653,0.70258,0.54687,0.63273,0.36568,1.59305,1.43326,1.65718,0.0010355,0.0010355,0.0010355
28,1604.91,1.37808,1.41013,1.49769,0.71071,0.54723,0.64339,0.37709,1.54245,1.44891,1.62988,0.00102725,0.00102725,0.00102725
29,1661.63,1.39248,1.41455,1.50616,0.63166,0.54118,0.58762,0.34393,1.59411,1.5415,1.69059,0.001019,0.001019,0.001019
30,1717.28,1.37626,1.38914,1.49514,0.7366,0.61641,0.70201,0.41303,1.50308,1.29343,1.56594,0.00101075,0.00101075,0.00101075
31,1775,1.36625,1.36367,1.48524,0.66843,0.56926,0.63623,0.36361,1.59643,1.46805,1.6676,0.0010025,0.0010025,0.0010025
32,1830.91,1.35819,1.36838,1.47787,0.70413,0.57451,0.65251,0.38308,1.57556,1.41741,1.6324,0.00099425,0.00099425,0.00099425
33,1887.82,1.34472,1.34468,1.46873,0.71767,0.59703,0.66682,0.39349,1.53316,1.34187,1.59278,0.000986,0.000986,0.000986
34,1945.09,1.32764,1.29718,1.45628,0.74487,0.61425,0.69451,0.40743,1.51858,1.29445,1.58202,0.00097775,0.00097775,0.00097775
35,2001.42,1.34524,1.31437,1.4731,0.70982,0.58895,0.66257,0.39434,1.50747,1.34642,1.57066,0.0009695,0.0009695,0.0009695
36,2057.35,1.33873,1.31747,1.46392,0.72797,0.59634,0.67931,0.39527,1.51888,1.35672,1.5809,0.00096125,0.00096125,0.00096125
37,2113.49,1.31219,1.27502,1.4396,0.73919,0.61039,0.70199,0.42158,1.47895,1.28741,1.55787,0.000953,0.000953,0.000953
38,2170.8,1.31325,1.27225,1.44833,0.72887,0.61326,0.68532,0.40262,1.51956,1.29194,1.59938,0.00094475,0.00094475,0.00094475
39,2226.55,1.31186,1.27342,1.43792,0.75164,0.62812,0.71429,0.4183,1.49938,1.25174,1.56171,0.0009365,0.0009365,0.0009365
40,2282.7,1.308,1.24531,1.43822,0.78013,0.63827,0.73585,0.45088,1.44465,1.18009,1.5141,0.00092825,0.00092825,0.00092825
41,2340.01,1.296,1.21554,1.42821,0.74796,0.6415,0.72526,0.4449,1.44746,1.20243,1.53475,0.00092,0.00092,0.00092
42,2396.13,1.25893,1.16309,1.40087,0.74697,0.66231,0.73264,0.45077,1.45599,1.17788,1.51574,0.00091175,0.00091175,0.00091175
43,2452.21,1.28457,1.18873,1.41781,0.74908,0.63389,0.71704,0.43555,1.47074,1.24847,1.52737,0.0009035,0.0009035,0.0009035
44,2507.89,1.26659,1.20845,1.41486,0.72475,0.63728,0.70437,0.42606,1.46022,1.25066,1.52306,0.00089525,0.00089525,0.00089525
45,2563.53,1.27669,1.19361,1.40436,0.73894,0.62607,0.71045,0.44021,1.42757,1.23031,1.5053,0.000887,0.000887,0.000887
46,2619.3,1.2483,1.15529,1.39693,0.75029,0.66476,0.72269,0.44221,1.4309,1.20915,1.49846,0.00087875,0.00087875,0.00087875
47,2674.56,1.26055,1.15783,1.3911,0.78602,0.6566,0.74976,0.45811,1.43425,1.14809,1.50271,0.0008705,0.0008705,0.0008705
48,2731.53,1.2382,1.14541,1.38309,0.79472,0.67335,0.76477,0.46739,1.43199,1.13757,1.49512,0.00086225,0.00086225,0.00086225
49,2787.97,1.22457,1.10969,1.37382,0.75769,0.66064,0.73215,0.44734,1.43073,1.17345,1.5061,0.000854,0.000854,0.000854
50,2843.61,1.22928,1.12507,1.37763,0.76821,0.67886,0.75843,0.46958,1.41047,1.13931,1.49542,0.00084575,0.00084575,0.00084575
51,2900.47,1.20879,1.10843,1.36267,0.77003,0.65824,0.74341,0.46308,1.42039,1.15333,1.50115,0.0008375,0.0008375,0.0008375
52,2956.29,1.21008,1.1097,1.37313,0.75098,0.70847,0.7657,0.47649,1.38656,1.09741,1.47365,0.00082925,0.00082925,0.00082925
53,3013.62,1.22336,1.10867,1.38362,0.77896,0.69189,0.75958,0.47618,1.40102,1.12102,1.48375,0.000821,0.000821,0.000821
54,3069.9,1.21962,1.10104,1.37012,0.77753,0.68499,0.74675,0.46762,1.3957,1.1152,1.48644,0.00081275,0.00081275,0.00081275
55,3125.66,1.20336,1.07335,1.35119,0.77953,0.68208,0.76169,0.48166,1.38896,1.10669,1.47399,0.0008045,0.0008045,0.0008045
56,3182.3,1.18516,1.05898,1.34122,0.79027,0.69351,0.7699,0.48451,1.38238,1.09958,1.46094,0.00079625,0.00079625,0.00079625
57,3238.94,1.18893,1.04641,1.34474,0.79899,0.692,0.7739,0.49638,1.35765,1.07195,1.44331,0.000788,0.000788,0.000788
58,3296.54,1.18205,1.03772,1.35141,0.82934,0.66444,0.76342,0.48501,1.3727,1.09235,1.46403,0.00077975,0.00077975,0.00077975
59,3352.55,1.15182,1.02742,1.32389,0.80323,0.69461,0.77713,0.49576,1.35674,1.05207,1.43604,0.0007715,0.0007715,0.0007715
60,3409.99,1.1614,1.02511,1.32555,0.79939,0.71954,0.79221,0.50628,1.33356,1.03475,1.42559,0.00076325,0.00076325,0.00076325
61,3467.09,1.15945,1.02358,1.32716,0.82288,0.68435,0.78043,0.48871,1.38341,1.06111,1.46979,0.000755,0.000755,0.000755
62,3523.35,1.1545,1.01864,1.31866,0.8105,0.69863,0.79065,0.50282,1.34368,1.0207,1.42643,0.00074675,0.00074675,0.00074675
63,3579.53,1.13689,0.98619,1.31384,0.82287,0.69843,0.78815,0.50572,1.33233,1.03458,1.43865,0.0007385,0.0007385,0.0007385
64,3635.57,1.13548,0.98622,1.31408,0.80844,0.68443,0.775,0.48422,1.3955,1.08179,1.47138,0.00073025,0.00073025,0.00073025
65,3691.34,1.1273,0.97387,1.29935,0.82022,0.70072,0.7958,0.50981,1.3504,0.99822,1.42782,0.000722,0.000722,0.000722
66,3747.87,1.14349,0.98348,1.3157,0.78651,0.71582,0.78369,0.49732,1.35872,1.02846,1.43913,0.00071375,0.00071375,0.00071375
67,3803.07,1.11308,0.97041,1.29386,0.82811,0.72403,0.8041,0.52395,1.33419,0.98161,1.41384,0.0007055,0.0007055,0.0007055
68,3860.35,1.1094,0.95056,1.28678,0.81307,0.70468,0.78726,0.50993,1.33422,1.02117,1.43665,0.00069725,0.00069725,0.00069725
69,3915.75,1.12233,0.95781,1.29919,0.80204,0.71778,0.78832,0.50073,1.34012,1.01342,1.43458,0.000689,0.000689,0.000689
70,3971.12,1.0999,0.9378,1.28678,0.81755,0.70343,0.80028,0.52431,1.3138,1.01494,1.41357,0.00068075,0.00068075,0.00068075
71,4026.31,1.10851,0.92806,1.28566,0.80227,0.72055,0.79063,0.50989,1.33201,0.99315,1.41926,0.0006725,0.0006725,0.0006725
72,4082.18,1.10317,0.91872,1.28074,0.83103,0.71991,0.81064,0.5261,1.3068,0.97422,1.38734,0.00066425,0.00066425,0.00066425
73,4138.91,1.07237,0.91513,1.26623,0.82156,0.7318,0.80645,0.52705,1.28037,0.96515,1.37549,0.000656,0.000656,0.000656
74,4195.96,1.09719,0.90616,1.2852,0.83194,0.73629,0.81393,0.54118,1.28223,0.94157,1.37357,0.00064775,0.00064775,0.00064775
75,4252.76,1.07775,0.91619,1.26319,0.80816,0.74464,0.80595,0.53826,1.28278,0.94549,1.39561,0.0006395,0.0006395,0.0006395
76,4308.67,1.06182,0.89635,1.25432,0.82875,0.73471,0.80642,0.52921,1.31171,0.9494,1.41639,0.00063125,0.00063125,0.00063125
77,4364.11,1.06701,0.87948,1.25338,0.84069,0.7233,0.81422,0.52759,1.30646,0.94276,1.39401,0.000623,0.000623,0.000623
78,4419.51,1.06475,0.87129,1.25524,0.84933,0.74715,0.81528,0.54698,1.2557,0.9245,1.36145,0.00061475,0.00061475,0.00061475
79,4476.43,1.05527,0.88291,1.24729,0.85274,0.73128,0.82043,0.55141,1.26232,0.91282,1.3633,0.0006065,0.0006065,0.0006065
80,4533.25,1.04248,0.86652,1.23959,0.86696,0.74976,0.83134,0.55298,1.26697,0.89331,1.37301,0.00059825,0.00059825,0.00059825
81,4590.41,1.04081,0.86246,1.23175,0.85642,0.72812,0.81834,0.5398,1.28097,0.92299,1.37951,0.00059,0.00059,0.00059
82,4645.67,1.03156,0.84995,1.23555,0.86854,0.73055,0.82475,0.55179,1.25304,0.90322,1.36877,0.00058175,0.00058175,0.00058175
83,4700.75,1.02992,0.84892,1.22259,0.85474,0.74458,0.82118,0.54606,1.26327,0.90023,1.36371,0.0005735,0.0005735,0.0005735
84,4755.77,1.01673,0.82084,1.22176,0.8536,0.75292,0.82446,0.55838,1.24632,0.911,1.3602,0.00056525,0.00056525,0.00056525
85,4812.47,1.03622,0.85046,1.23766,0.84121,0.76922,0.83132,0.56192,1.24238,0.87257,1.35318,0.000557,0.000557,0.000557
86,4868.96,1.02672,0.81965,1.2278,0.86415,0.75721,0.83039,0.55475,1.2532,0.89366,1.35535,0.00054875,0.00054875,0.00054875
87,4924.91,1.00244,0.81135,1.21513,0.86897,0.76883,0.84262,0.56711,1.22802,0.86538,1.34229,0.0005405,0.0005405,0.0005405
88,4981.89,1.0113,0.83205,1.22533,0.86217,0.7614,0.83208,0.5591,1.23197,0.88999,1.34555,0.00053225,0.00053225,0.00053225
89,5036.94,1.017,0.81157,1.21581,0.84082,0.76771,0.83163,0.56569,1.23143,0.89386,1.34879,0.000524,0.000524,0.000524
90,5092.53,0.98284,0.77644,1.19772,0.87445,0.76211,0.83952,0.56214,1.23592,0.87382,1.34649,0.00051575,0.00051575,0.00051575
91,5148.06,0.97599,0.78169,1.19227,0.86299,0.75739,0.83511,0.57192,1.20634,0.87326,1.32865,0.0005075,0.0005075,0.0005075
92,5205.04,1.00372,0.80189,1.21237,0.88356,0.75128,0.83435,0.56469,1.23614,0.86874,1.35047,0.00049925,0.00049925,0.00049925
93,5260.32,0.97295,0.77032,1.1952,0.8651,0.77298,0.83352,0.56485,1.22702,0.87737,1.34084,0.000491,0.000491,0.000491
94,5315.05,0.97105,0.76949,1.19486,0.86909,0.76518,0.83484,0.56796,1.22842,0.86321,1.33658,0.00048275,0.00048275,0.00048275
95,5369.88,0.97595,0.76909,1.1879,0.85211,0.77232,0.83486,0.56543,1.21844,0.87876,1.33203,0.0004745,0.0004745,0.0004745
96,5425.56,0.95914,0.76038,1.18432,0.87273,0.7585,0.83819,0.57586,1.20262,0.86472,1.32558,0.00046625,0.00046625,0.00046625
97,5482.94,0.96625,0.76063,1.18908,0.88328,0.77056,0.84281,0.57203,1.19671,0.84866,1.33269,0.000458,0.000458,0.000458
98,5538.94,0.95058,0.76343,1.18212,0.87897,0.76672,0.83889,0.57143,1.1961,0.86624,1.31623,0.00044975,0.00044975,0.00044975
99,5595.66,0.95737,0.76509,1.18491,0.86563,0.77373,0.84473,0.58278,1.19725,0.86415,1.33207,0.0004415,0.0004415,0.0004415
100,5653.01,0.93801,0.73565,1.17205,0.87039,0.76491,0.84216,0.57888,1.19173,0.85684,1.31701,0.00043325,0.00043325,0.00043325
101,5708.62,0.93298,0.72969,1.16067,0.8728,0.77193,0.84417,0.58026,1.19063,0.83398,1.32064,0.000425,0.000425,0.000425
102,5764.94,0.93694,0.71679,1.16845,0.88521,0.77249,0.8466,0.5893,1.18025,0.84262,1.3092,0.00041675,0.00041675,0.00041675
103,5821.32,0.92745,0.73379,1.16533,0.85565,0.79141,0.84455,0.58119,1.18267,0.84597,1.30954,0.0004085,0.0004085,0.0004085
104,5877.11,0.91786,0.72274,1.15577,0.88061,0.78787,0.84957,0.59113,1.15946,0.8306,1.29745,0.00040025,0.00040025,0.00040025
105,5933.92,0.93372,0.7278,1.16941,0.88162,0.79594,0.84724,0.59192,1.15574,0.82078,1.28824,0.000392,0.000392,0.000392
106,5990.72,0.91592,0.71525,1.15949,0.88233,0.7878,0.85276,0.59535,1.15705,0.80861,1.294,0.00038375,0.00038375,0.00038375
107,6047.6,0.91386,0.71345,1.15547,0.8788,0.77229,0.84696,0.59305,1.15357,0.81933,1.28736,0.0003755,0.0003755,0.0003755
108,6103.62,0.91749,0.71234,1.15507,0.87923,0.7898,0.85056,0.59462,1.15373,0.79622,1.29564,0.00036725,0.00036725,0.00036725
109,6159.46,0.91487,0.70797,1.15768,0.88003,0.78385,0.85077,0.60548,1.13755,0.79701,1.27597,0.000359,0.000359,0.000359
110,6216.88,0.90032,0.7023,1.15019,0.87886,0.79387,0.85523,0.59781,1.13667,0.79839,1.28475,0.00035075,0.00035075,0.00035075
111,6272.74,0.8868,0.67756,1.13664,0.9017,0.77058,0.85101,0.59752,1.14708,0.82291,1.27582,0.0003425,0.0003425,0.0003425
112,6329.06,0.88612,0.68484,1.13654,0.87412,0.80454,0.85773,0.60224,1.13534,0.80123,1.27433,0.00033425,0.00033425,0.00033425
113,6384.74,0.87589,0.6864,1.13911,0.89636,0.78391,0.85453,0.60627,1.13895,0.77474,1.27759,0.000326,0.000326,0.000326
114,6441.62,0.892,0.67693,1.13731,0.88656,0.79407,0.85511,0.60714,1.13066,0.79332,1.28137,0.00031775,0.00031775,0.00031775
115,6498.73,0.88687,0.68034,1.13614,0.8889,0.79963,0.85895,0.61225,1.1197,0.78491,1.26327,0.0003095,0.0003095,0.0003095
116,6555.39,0.85196,0.6616,1.11946,0.89773,0.79836,0.86201,0.61826,1.10985,0.77986,1.25811,0.00030125,0.00030125,0.00030125
117,6611.68,0.87007,0.6822,1.13207,0.88882,0.79159,0.85573,0.61302,1.1208,0.77545,1.26478,0.000293,0.000293,0.000293
118,6667.61,0.87971,0.67545,1.13485,0.89362,0.78806,0.85897,0.61362,1.10376,0.78939,1.25144,0.00028475,0.00028475,0.00028475
119,6723.03,0.85009,0.65827,1.11932,0.89571,0.78649,0.85741,0.61411,1.10187,0.77733,1.25097,0.0002765,0.0002765,0.0002765
120,6778.83,0.84891,0.64391,1.10869,0.88689,0.78987,0.85888,0.61515,1.11043,0.76151,1.2577,0.00026825,0.00026825,0.00026825
121,6834.2,0.84622,0.64452,1.11525,0.89139,0.79552,0.86062,0.61857,1.09759,0.75442,1.25649,0.00026,0.00026,0.00026
122,6891.36,0.85067,0.64548,1.11747,0.88534,0.80239,0.86226,0.62157,1.09012,0.7669,1.24321,0.00025175,0.00025175,0.00025175
123,6948.31,0.83859,0.63661,1.11025,0.9126,0.77823,0.86277,0.61856,1.0923,0.76899,1.24969,0.0002435,0.0002435,0.0002435
124,7003.73,0.82927,0.62465,1.10683,0.90406,0.78615,0.86316,0.62225,1.09741,0.77459,1.24592,0.00023525,0.00023525,0.00023525
125,7062.94,0.82232,0.62837,1.10416,0.89464,0.79003,0.86317,0.62244,1.09725,0.7586,1.24354,0.000227,0.000227,0.000227
126,7119.81,0.82635,0.63048,1.10059,0.9082,0.79578,0.86586,0.62572,1.07121,0.75614,1.24044,0.00021875,0.00021875,0.00021875
127,7176.73,0.83309,0.63419,1.10899,0.90923,0.78292,0.86304,0.63071,1.05974,0.7705,1.2275,0.0002105,0.0002105,0.0002105
128,7233.83,0.81943,0.63396,1.10815,0.90391,0.7901,0.86655,0.63086,1.06811,0.76216,1.22969,0.00020225,0.00020225,0.00020225
129,7291.35,0.82741,0.62704,1.10925,0.90473,0.80227,0.87013,0.63065,1.06475,0.75415,1.22965,0.000194,0.000194,0.000194
130,7348.42,0.81951,0.62167,1.10631,0.90715,0.79391,0.86222,0.62542,1.07788,0.76654,1.24001,0.00018575,0.00018575,0.00018575
131,7403.34,0.80747,0.61473,1.09677,0.90977,0.7954,0.8641,0.62801,1.06714,0.76072,1.23571,0.0001775,0.0001775,0.0001775
132,7458.94,0.80879,0.61064,1.10135,0.88157,0.80056,0.86259,0.62265,1.07811,0.77311,1.24164,0.00016925,0.00016925,0.00016925
133,7514.67,0.80294,0.60674,1.09025,0.91255,0.79382,0.86309,0.63317,1.05895,0.76918,1.22909,0.000161,0.000161,0.000161
134,7571.43,0.79551,0.60561,1.0882,0.90549,0.79891,0.8643,0.63351,1.05989,0.74772,1.2296,0.00015275,0.00015275,0.00015275
135,7629.11,0.79159,0.59157,1.0847,0.90845,0.80026,0.86729,0.63503,1.0578,0.73851,1.23195,0.0001445,0.0001445,0.0001445
136,7686.45,0.79556,0.58736,1.08384,0.90589,0.79822,0.86342,0.63566,1.05349,0.75142,1.2255,0.00013625,0.00013625,0.00013625
137,7744.16,0.77463,0.58274,1.0771,0.90488,0.79393,0.86404,0.63427,1.0513,0.74996,1.22609,0.000128,0.000128,0.000128
138,7800.57,0.77979,0.58324,1.07604,0.90754,0.79885,0.86781,0.63811,1.05633,0.75307,1.22698,0.00011975,0.00011975,0.00011975
139,7858.28,0.78943,0.59237,1.0816,0.90842,0.79857,0.86808,0.63965,1.04884,0.74315,1.22087,0.0001115,0.0001115,0.0001115
140,7915.61,0.76862,0.57519,1.07647,0.90324,0.80325,0.86766,0.64055,1.05176,0.74515,1.22622,0.00010325,0.00010325,0.00010325
141,7974.03,0.7573,0.49072,1.0668,0.91208,0.7952,0.85697,0.62465,1.08102,0.73501,1.2514,9.5e-05,9.5e-05,9.5e-05
142,8030.36,0.74001,0.47185,1.05446,0.90722,0.80601,0.86615,0.63237,1.06824,0.71306,1.24361,8.675e-05,8.675e-05,8.675e-05
143,8085.83,0.70912,0.45455,1.04771,0.91461,0.79962,0.871,0.63785,1.05907,0.71917,1.23432,7.85e-05,7.85e-05,7.85e-05
144,8141.53,0.70449,0.44547,1.02767,0.90076,0.80728,0.86688,0.63882,1.05078,0.71624,1.23107,7.025e-05,7.025e-05,7.025e-05
145,8197,0.70185,0.43958,1.02926,0.91069,0.8013,0.8673,0.64129,1.04627,0.71256,1.23085,6.2e-05,6.2e-05,6.2e-05
146,8253.28,0.69705,0.43456,1.02699,0.91556,0.80137,0.87009,0.64507,1.04087,0.71057,1.22743,5.375e-05,5.375e-05,5.375e-05
147,8309.33,0.69082,0.43319,1.03188,0.91539,0.8032,0.87164,0.64481,1.03679,0.71377,1.22378,4.55e-05,4.55e-05,4.55e-05
148,8363.93,0.68136,0.42758,1.01804,0.90453,0.81055,0.87013,0.64442,1.0398,0.716,1.2282,3.725e-05,3.725e-05,3.725e-05
149,8418.87,0.67908,0.42808,1.02429,0.90517,0.81614,0.87189,0.64807,1.03513,0.71588,1.22316,2.9e-05,2.9e-05,2.9e-05
150,8474.84,0.68139,0.42627,1.01931,0.92279,0.80499,0.87302,0.64688,1.03193,0.71387,1.22139,2.075e-05,2.075e-05,2.075e-05
