epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5306,1.81592,3.09763,1.87618,0.0913,0.16924,0.05515,0.02384,2.46761,4.70054,2.49185,0.000413625,0.000413625,0.000413625
2,117.134,1.9265,2.52561,1.9563,0.1844,0.21851,0.12325,0.04934,2.34765,3.37665,2.45293,0.000822072,0.000822072,0.000822072
3,173.851,1.92132,2.51268,1.953,0.44404,0.14985,0.1122,0.04947,2.44166,3.76355,2.48834,0.00122227,0.00122227,0.00122227
4,228.518,1.90913,2.44061,1.94377,0.28352,0.18189,0.1273,0.0498,2.39652,3.19502,2.54467,0.00121287,0.00121287,0.00121287
5,284.576,1.81815,2.31755,1.88002,0.36929,0.23806,0.17638,0.07918,2.17837,3.0259,2.22725,0.0012005,0.0012005,0.0012005
6,340.946,1.7741,2.21854,1.82493,0.46529,0.33263,0.33886,0.16656,2.0121,2.38789,2.04676,0.00118812,0.00118812,0.00118812
7,397.306,1.70728,2.08715,1.77941,0.437,0.344,0.32914,0.15942,1.98397,2.38875,2.08338,0.00117575,0.00117575,0.00117575
8,452.628,1.69028,2.06463,1.76476,0.52921,0.31703,0.35315,0.17789,1.98584,2.26525,2.03411,0.00116337,0.00116337,0.00116337
9,509.363,1.67816,1.97791,1.74903,0.42052,0.3508,0.34522,0.17664,1.94513,2.27162,2.04549,0.001151,0.001151,0.001151
10,564.983,1.62008,1.90494,1.69755,0.57894,0.27211,0.30938,0.15224,2.04613,2.56375,2.09177,0.00113863,0.00113863,0.00113863
11,620.334,1.61498,1.87012,1.68284,0.51811,0.3922,0.4141,0.21829,1.87765,2.08869,1.94757,0.00112625,0.00112625,0.00112625
12,676.75,1.58854,1.80045,1.65866,0.55418,0.42076,0.45318,0.23543,1.86604,1.97079,1.87644,0.00111388,0.00111388,0.00111388
13,733.349,1.55916,1.77927,1.66038,0.52132,0.44263,0.46146,0.24975,1.78341,1.94835,1.83786,0.0011015,0.0011015,0.0011015
14,789.783,1.5446,1.75255,1.63224,0.63409,0.45799,0.51407,0.2697,1.75905,1.75019,1.78185,0.00108913,0.00108913,0.00108913
15,846.372,1.54433,1.71459,1.61696,0.57713,0.45846,0.50293,0.27633,1.72325,1.81007,1.77366,0.00107675,0.00107675,0.00107675
16,902.799,1.53804,1.70945,1.62133,0.66135,0.48443,0.56202,0.3011,1.7242,1.65241,1.7484,0.00106437,0.00106437,0.00106437
17,959.446,1.51962,1.65786,1.60616,0.62668,0.52187,0.57696,0.31371,1.67398,1.65839,1.71986,0.001052,0.001052,0.001052
18,1015.72,1.4914,1.62657,1.58586,0.60942,0.50565,0.55446,0.30803,1.66714,1.67515,1.748,0.00103962,0.00103962,0.00103962
19,1071.18,1.4778,1.5845,1.57971,0.64407,0.55118,0.60679,0.34745,1.62018,1.52869,1.66581,0.00102725,0.00102725,0.00102725
20,1127.57,1.45293,1.53547,1.55805,0.65045,0.56913,0.62459,0.35339,1.62307,1.48808,1.66221,0.00101488,0.00101488,0.00101488
21,1184.27,1.43698,1.53136,1.53703,0.7263,0.54546,0.64491,0.36888,1.5665,1.44927,1.63204,0.0010025,0.0010025,0.0010025
22,1241.34,1.4377,1.50211,1.54082,0.68284,0.52551,0.60253,0.34332,1.61299,1.53977,1.64786,0.000990125,0.000990125,0.000990125
23,1296.37,1.43587,1.5053,1.542,0.68127,0.54543,0.63204,0.36379,1.56295,1.4906,1.63911,0.00097775,0.00097775,0.00097775
24,1351.48,1.44133,1.50392,1.53488,0.68275,0.54984,0.62434,0.35969,1.5943,1.48757,1.64234,0.000965375,0.000965375,0.000965375
25,1406.38,1.39931,1.42726,1.50485,0.67741,0.58268,0.64971,0.37942,1.57177,1.3954,1.59812,0.000953,0.000953,0.000953
26,1463.02,1.39147,1.43077,1.50274,0.68616,0.57977,0.66213,0.38189,1.56514,1.39423,1.62077,0.000940625,0.000940625,0.000940625
27,1519.2,1.37747,1.40152,1.49207,0.69295,0.58751,0.66847,0.39443,1.54951,1.39355,1.60599,0.00092825,0.00092825,0.00092825
28,1575.68,1.37445,1.38393,1.48628,0.71526,0.62148,0.69591,0.41534,1.50453,1.29507,1.57861,0.000915875,0.000915875,0.000915875
29,1632.81,1.35941,1.37718,1.47966,0.74458,0.62361,0.70571,0.4208,1.49097,1.30843,1.54435,0.0009035,0.0009035,0.0009035
30,1689.42,1.36248,1.36122,1.4739,0.72698,0.60441,0.6882,0.41037,1.50282,1.31985,1.56038,0.000891125,0.000891125,0.000891125
31,1745.34,1.346,1.32386,1.4584,0.7113,0.62271,0.69482,0.41346,1.4939,1.28773,1.56007,0.00087875,0.00087875,0.00087875
32,1801.33,1.34464,1.31068,1.45795,0.74999,0.58996,0.68982,0.40011,1.54406,1.31938,1.5836,0.000866375,0.000866375,0.000866375
33,1856.28,1.3146,1.28431,1.44331,0.72012,0.65505,0.7225,0.43651,1.47165,1.23185,1.53242,0.000854,0.000854,0.000854
34,1912.88,1.31796,1.27144,1.43854,0.76033,0.60397,0.70301,0.41592,1.49721,1.2751,1.54607,0.000841625,0.000841625,0.000841625
35,1968.51,1.32032,1.27048,1.43774,0.75843,0.63262,0.72505,0.43847,1.46092,1.26655,1.52678,0.00082925,0.00082925,0.00082925
36,2024.97,1.32419,1.28808,1.43735,0.73078,0.64719,0.70933,0.42517,1.48571,1.28543,1.54485,0.000816875,0.000816875,0.000816875
37,2080.62,1.29252,1.24261,1.42559,0.76209,0.63739,0.72948,0.44065,1.46155,1.24031,1.52797,0.0008045,0.0008045,0.0008045
38,2137.86,1.29903,1.24503,1.43924,0.7932,0.63336,0.74484,0.46668,1.43464,1.15258,1.50574,0.000792125,0.000792125,0.000792125
39,2194.51,1.26373,1.20829,1.41289,0.75592,0.65322,0.73632,0.45504,1.42921,1.19324,1.51181,0.00077975,0.00077975,0.00077975
40,2250.15,1.25716,1.19694,1.40385,0.7551,0.6316,0.72588,0.43286,1.46667,1.24632,1.53317,0.000767375,0.000767375,0.000767375
